No.,Time,Source,Destination,Protocol,Classification,Length,Info
146,44.761203,172.20.10.5,172.20.10.1,ICMP,Benign,74,"Echo (ping) request  id=0x0001, seq=21/5376, ttl=128 (reply in 147)"
147,44.764943,172.20.10.1,172.20.10.5,ICMP,Benign,74,"Echo (ping) reply    id=0x0001, seq=21/5376, ttl=64 (request in 146)"
148,45.993459,172.20.10.5,172.20.10.1,ICMP,Benign,74,"Echo (ping) request  id=0x0001, seq=22/5632, ttl=128 (reply in 149)"
149,45.996428,172.20.10.1,172.20.10.5,ICMP,Benign,74,"Echo (ping) reply    id=0x0001, seq=22/5632, ttl=64 (request in 148)"
150,47.01081,172.20.10.5,172.20.10.1,ICMP,Benign,74,"Echo (ping) request  id=0x0001, seq=23/5888, ttl=128 (reply in 151)"
151,47.013228,172.20.10.1,172.20.10.5,ICMP,Benign,74,"Echo (ping) reply    id=0x0001, seq=23/5888, ttl=64 (request in 150)"
152,47.296068,172.20.10.5,172.20.10.1,DNS,Benign,98,Standard query 0x540e A safebrowsing.googleapis.com OPT
153,47.296437,172.20.10.5,172.20.10.1,DNS,Benign,98,Standard query 0xb764 AAAA safebrowsing.googleapis.com OPT
154,47.300975,172.20.10.1,172.20.10.5,DNS,Benign,114,Standard query response 0x540e A safebrowsing.googleapis.com A 172.217.165.10 OPT
155,47.302946,172.20.10.5,172.217.165.10,TCP,Benign,66,58080  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
156,47.494505,172.217.165.10,172.20.10.5,TCP,Benign,66,"443  >  58080 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1410 SACK_PERM WS=256"
157,47.494594,172.20.10.5,172.217.165.10,TCP,Benign,54,58080  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0
158,47.498444,172.20.10.5,172.217.165.10,TLSv1.3,Benign,1299,Client Hello (SNI=safebrowsing.googleapis.com)
159,47.500017,172.20.10.1,172.20.10.5,DNS,Benign,126,Standard query response 0xb764 AAAA safebrowsing.googleapis.com AAAA 2607:f8b0:400b:802::200a OPT
160,47.579991,172.217.165.10,172.20.10.5,TCP,Benign,54,443  >  58080 [ACK] Seq=1 Ack=1246 Win=10484480 Len=0
161,47.580029,172.20.10.5,172.217.165.10,TLSv1.3,Benign,828,"Change Cipher Spec, Application Data"
162,47.603193,172.217.165.10,172.20.10.5,TLSv1.3,Benign,822,"Server Hello, Change Cipher Spec, Application Data, Application Data"
163,47.603193,172.217.165.10,172.20.10.5,TLSv1.3,Benign,116,Application Data
164,47.603271,172.20.10.5,172.217.165.10,TCP,Benign,54,58080  >  443 [ACK] Seq=2020 Ack=831 Win=130048 Len=0
165,47.620041,172.217.165.10,172.20.10.5,TCP,Benign,54,443  >  58080 [ACK] Seq=831 Ack=2020 Win=10484736 Len=0
166,47.620083,172.20.10.5,172.217.165.10,TLSv1.3,Benign,169,"Application Data, Application Data, Application Data"
167,47.633237,172.217.165.10,172.20.10.5,TLSv1.3,Benign,85,Application Data
168,47.633237,172.217.165.10,172.20.10.5,TLSv1.3,Benign,292,Application Data
169,47.633237,172.217.165.10,172.20.10.5,TLSv1.3,Benign,1464,Application Data
170,47.633237,172.217.165.10,172.20.10.5,TLSv1.3,Benign,1464,Application Data
171,47.633237,172.217.165.10,172.20.10.5,TLSv1.3,Benign,1464,Application Data
172,47.633334,172.20.10.5,172.217.165.10,TCP,Benign,54,58080  >  443 [ACK] Seq=2135 Ack=5330 Win=131072 Len=0
173,47.638884,172.217.165.10,172.20.10.5,TLSv1.3,Benign,256,"Application Data, Application Data"
174,47.638944,172.20.10.5,172.217.165.10,TCP,Benign,54,58080  >  443 [ACK] Seq=2135 Ack=5532 Win=130816 Len=0
175,47.641909,172.20.10.5,172.217.165.10,TLSv1.3,Benign,117,"Application Data, Application Data"
176,47.673022,172.217.165.10,172.20.10.5,TCP,Benign,54,443  >  58080 [ACK] Seq=5532 Ack=2135 Win=10485504 Len=0
177,47.687779,172.217.165.10,172.20.10.5,TCP,Benign,54,443  >  58080 [ACK] Seq=5532 Ack=2199 Win=10485504 Len=0
178,47.692368,172.217.165.10,172.20.10.5,TCP,Benign,54,"443  >  58080 [FIN, ACK] Seq=5532 Ack=2199 Win=10485760 Len=0"
179,47.69241,172.20.10.5,172.217.165.10,TCP,Benign,54,58080  >  443 [ACK] Seq=2199 Ack=5533 Win=130816 Len=0
180,47.926782,fe80::f421:caff:fecb:6b64,ff02::1,ICMPv6,Benign,142,Router Advertisement from f6:21:ca:cb:6b:64
181,48.032179,172.20.10.5,172.20.10.1,ICMP,Benign,74,"Echo (ping) request  id=0x0001, seq=24/6144, ttl=128 (reply in 182)"
182,48.038057,172.20.10.1,172.20.10.5,ICMP,Benign,74,"Echo (ping) reply    id=0x0001, seq=24/6144, ttl=64 (request in 181)"
183,48.502831,2605:b100:10b:a167:e022:133f:fb63:a03e,2607:f8b0:400b:802::200a,TCP,Benign,75,[TCP Keep-Alive] 58037  >  443 [ACK] Seq=1731 Ack=10865 Win=131840 Len=1
184,48.553273,2607:f8b0:400b:802::200a,2605:b100:10b:a167:e022:133f:fb63:a03e,TCP,Benign,74,[TCP Window Update] 443  >  58037 [ACK] Seq=10865 Ack=1732 Win=10485760 Len=0
185,49.051196,172.20.10.5,172.20.10.1,ICMP,Benign,74,"Echo (ping) request  id=0x0001, seq=25/6400, ttl=128 (reply in 186)"
186,49.053426,172.20.10.1,172.20.10.5,ICMP,Benign,74,"Echo (ping) reply    id=0x0001, seq=25/6400, ttl=64 (request in 185)"
187,50.154022,fe80::44cb:583a:921a:9287,fe80::f421:caff:fecb:6b64,DNS,Benign,97,Standard query 0x1e6a AAAA beacons3.gvt2.com
188,50.154424,fe80::44cb:583a:921a:9287,fe80::f421:caff:fecb:6b64,DNS,Benign,97,Standard query 0xa4af A beacons3.gvt2.com
189,50.154819,fe80::44cb:583a:921a:9287,fe80::f421:caff:fecb:6b64,DNS,Benign,97,Standard query 0x5cdd HTTPS beacons3.gvt2.com
190,50.161018,fe80::f421:caff:fecb:6b64,fe80::44cb:583a:921a:9287,DNS,Benign,113,Standard query response 0xa4af A beacons3.gvt2.com A 172.217.165.3
191,50.161018,fe80::f421:caff:fecb:6b64,fe80::44cb:583a:921a:9287,DNS,Benign,154,Standard query response 0x5cdd HTTPS beacons3.gvt2.com SOA ns1.google.com
192,50.219569,fe80::f421:caff:fecb:6b64,fe80::44cb:583a:921a:9287,DNS,Benign,125,Standard query response 0x1e6a AAAA beacons3.gvt2.com AAAA 64:ff9b::acd9:a503
193,50.220939,2605:b100:10b:a167:e022:133f:fb63:a03e,64:ff9b::acd9:a503,QUIC,Threat,1292,"Initial, DCID=bde3eb1980374dd5, PKN: 1, CRYPTO, PING, PING, PADDING, PING, PING, PING, PING, PADDING, CRYPTO, PADDING, PING, PADDING, PING, PADDING, CRYPTO"
194,50.273335,64:ff9b::acd9:a503,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,"Initial, SCID=fde3eb1980374dd5, PKN: 1, ACK, CRYPTO, PADDING"
195,50.278028,2605:b100:10b:a167:e022:133f:fb63:a03e,64:ff9b::acd9:a503,QUIC,Threat,1292,"Initial, DCID=fde3eb1980374dd5, PKN: 2, ACK, PADDING"
196,50.278159,2605:b100:10b:a167:e022:133f:fb63:a03e,2607:f8b0:400b:802::2003,TCP,Benign,74,"58030  >  443 [FIN, ACK] Seq=2 Ack=1 Win=515 Len=0"
197,50.278483,2605:b100:10b:a167:e022:133f:fb63:a03e,64:ff9b::acd9:a503,TCP,Benign,86,58084  >  443 [SYN] Seq=0 Win=65330 Len=0 MSS=1390 WS=256 SACK_PERM
198,50.284611,64:ff9b::acd9:a503,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,"Handshake, SCID=fde3eb1980374dd5"
199,50.284611,64:ff9b::acd9:a503,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,"Handshake, SCID=fde3eb1980374dd5"
200,50.284953,2605:b100:10b:a167:e022:133f:fb63:a03e,64:ff9b::acd9:a503,QUIC,Threat,101,"Handshake, DCID=fde3eb1980374dd5"
